category,question,question_image,question_hint,type,published,wrong_answer_text,right_answer_text,explanation,user_explanation,not_influence_to_score,weight,answers,options,question_title,tags,id
Reglamento (RIPA),&lt;p&gt;Un buque de propulsión mecánica en navegación pero parado y sin arrancada en visibilidad reducida emitirá:&lt;/p&gt;,,,radio,1,,,,off,off,1,"Tres pitadas largas.::0::0::::::A::22777::::;;Una corta seguida de dos largas que no excedan de dos segundos entre ambas.::0::0::::::A::22778::::;;A intervalos que no excedan de dos minutos, dos pitadas largas consecutivas separadas por un intervalo de unos dos segundos entre ambas.::1::0::::::A::22779::::;;Una pitada larga que no exceda de dos minutos.::0::0::::::A::22780::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5695
Reglamento (RIPA),"&lt;p&gt;Divisamos un buque que lleva una marca consistente en un cono con el vértice hacia abajo, se trata de:&lt;/p&gt;",,,radio,1,,,,off,off,1,"Un buque de pesca al cerco, que tiene su aparejo largado a más de 150 metros.::0::0::::::A::22781::::;;Un buque de pesca al arrastre.::0::0::::::A::22782::::;;Un buque de vela fondeado.::0::0::::::A::22783::::;;Un buque de vela que también es propulsado mecánicamente.::1::0::::::A::22784::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5696
Reglamento (RIPA),&lt;p&gt;Cómo deberá actuar un buque de vela si divisa por su costado de estribor a un buque de propulsión mecánica con riesgo de abordaje:&lt;/p&gt;,,,radio,1,,,,off,off,1,Manteniendo su rumbo y velocidad.::1::0::::::A::22785::::;;Maniobrando por tener al otro buque por su costado de estribor.::0::0::::::A::22786::::;;Caerá a babor.::0::0::::::A::22787::::;;Suprimirá toda su arrancada.::0::0::::::A::22788::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5697
Maniobra y navegación,"&lt;p&gt;Para amarrarse a una boya, lo mejor es tomar la corriente por…&lt;/p&gt;",,,radio,1,,,,off,off,1,La popa.::0::0::::::A::22789::::;;La aleta de babor.::0::0::::::A::22790::::;;La proa.::1::0::::::A::22791::::;;La aleta de estribor.::0::0::::::A::22792::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5698
Maniobra y navegación,&lt;p&gt;Las tres fases de evolución en marcha avante son los períodos…&lt;/p&gt;,,,radio,1,,,,off,off,1,"de maniobra, variable, uniforme.::1::0::::::A::22793::::;;de maniobra, de rabeo, de colocación.::0::0::::::A::22794::::;;neutro, de maniobra, total.::0::0::::::A::22795::::;;de maniobra, de arrumbamiento, final.::0::0::::::A::22796::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5699
Emergencias en la mar,&lt;p&gt;En caso de hemorragia arterial:&lt;/p&gt;,,,radio,1,,,,off,off,1,Se comprimirá la herida y se aplicará torniquete si no deja de manar sangre.::1::0::::::A::22797::::;;Se aplicarán vasodilatadores.::0::0::::::A::22798::::;;Se dejará que salga toda la sangre posible para evitar infecciones.::0::0::::::A::22799::::;;Se dejará la herida por debajo del corazón para que coagule.::0::0::::::A::22800::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5700
Emergencias en la mar,&lt;p&gt;El método de extinción de un incendio a bordo suprimiendo el oxígeno se llama…&lt;/p&gt;,,,radio,1,,,,off,off,1,Por enfriamiento.::0::0::::::A::22801::::;;Por consumición.::0::0::::::A::22802::::;;Por sofocación.::1::0::::::A::22803::::;;Por conflagración.::0::0::::::A::22804::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5701
Emergencias en la mar,"&lt;p&gt;Para salir de una embarrancada, es aconsejable…&lt;/p&gt;",,,radio,1,,,,off,off,1,Esperar la pleamar.::0::0::::::A::22805::::;;Achicar los tanques y aligerar el peso para disminuir los calados.::0::0::::::A::22806::::;;Escorar la embarcación trasladando pesos hacia el costado con más fondo.::0::0::::::A::22807::::;;Todas son ciertas.::1::0::::::A::22808::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5702
Meteorología,&lt;p&gt;¿Cómo circula el viento alrededor de un anticiclón en el hemisferio Norte?&lt;/p&gt;,,,radio,1,,,,off,off,1,En el sentido contrario a las agujas de reloj y con una componente hacia adentro.::0::0::::::A::22809::::;;En el mismo sentido a las agujas del reloj y con una componente hacia fuera.::1::0::::::A::22810::::;;Lateralmente hacia el interior del conjunto.::0::0::::::A::22811::::;;De Sur a Norte.::0::0::::::A::22812::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5703
Meteorología,&lt;p&gt;Definimos Persistencia como:&lt;/p&gt;,,,radio,1,,,,off,off,1,El número de horas que ha soplado el viento en la misma dirección sobre la mar.::1::0::::::A::22813::::;;Una zona o extensión en la que el viento sopla en la misma dirección y con la misma intensidad.::0::0::::::A::22814::::;;Una zona o extensión en la que el viento sopla en la misma dirección y con intensidad variable.::0::0::::::A::22815::::;;La zona de recurva anterior al frente cálido.::0::0::::::A::22816::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5704
Meteorología,"&lt;p&gt;La suma vectorial del viento que notaríamos si estuviésemos parados y el viento que genera la velocidad a la que nos desplazamos, se denomina…&lt;/p&gt;",,,radio,1,,,,off,off,1,Viento real.::0::0::::::A::22817::::;;Viento aparente.::1::0::::::A::22818::::;;Viento persistente.::0::0::::::A::22819::::;;Todas son falsas.::0::0::::::A::22820::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5705
Meteorología,&lt;p&gt;Qué son isóbaras:&lt;/p&gt;,,,radio,1,,,,off,off,1,Líneas que unen puntos de igual presión.::1::0::::::A::22821::::;;Líneas que unen puntos en los que la presión ha variado la misma cantidad de milibares.::0::0::::::A::22822::::;;Líneas que une puntos de igual profundidad.::0::0::::::A::22823::::;;Líneas que unen puntos de igual presión a nivel del mar.::0::0::::::A::22824::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5706
Teoría de la navegación,&lt;p&gt;Las líneas representadas en las cartas de navegación a las que se llaman veriles o líneas isobáticas representan&lt;/p&gt;,,,radio,1,,,,off,off,1,La misma altura.::0::0::::::A::22825::::;;La misma sonda.::1::0::::::A::22826::::;;La misma declinación magnética.::0::0::::::A::22827::::;;La misma demora.::0::0::::::A::22828::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5707
Teoría de la navegación,&lt;p&gt;¿Qué rumbo circular le corresponde al cuadrantal S50W?&lt;/p&gt;,,,radio,1,,,,off,off,1,130º::0::0::::::A::22829::::;;330º::0::0::::::A::22830::::;;230º::1::0::::::A::22831::::;;030º::0::0::::::A::22832::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5708
Teoría de la navegación,"&lt;p&gt;Toda embarcación navegando bajo los efectos de una corriente, lleva su rumbo verdadero afectado por ... :&lt;/p&gt;",,,radio,1,,,,off,off,1,EI abatimiento.::0::0::::::A::22833::::;;El retroceso magnético.::0::0::::::A::22834::::;;La deriva.::1::0::::::A::22835::::;;El aumento del desvío.::0::0::::::A::22836::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5709
Teoría de la navegación,"&lt;p&gt;El tercer cuadrante del horizonte, es el comprendido entre ... :&lt;/p&gt;",,,radio,1,,,,off,off,1,Sur y Oeste.::1::0::::::A::22837::::;;Norte y Oeste.::0::0::::::A::22838::::;;Sur y Este.::0::0::::::A::22839::::;;Norte y Este.::0::0::::::A::22840::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5710
Teoría de la navegación,&lt;p&gt;Un minuto de latitud se corresponde con&lt;/p&gt;,,,radio,1,,,,off,off,1,Una milla náutica.::0::0::::::A::22841::::;;1.852 metros.::0::0::::::A::22842::::;;Un minuto de arco de meridiano de la Tierra.::0::0::::::A::22843::::;;Todas las respuestas son correctas.::1::0::::::A::22844::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5711
Carta de navegación,&lt;p&gt;Nos encontramos en un punto -A- de situación  36º 10'N – 006º 10'W y queremos dirigirnos  hacia otro punto -B- situado en  35º 50'N – 006º 00'W ¿Cuánto tiempo tardaremos en realizar este recorrido a velocidad constante de 8 nudos?&lt;/p&gt;,,,radio,1,,,,off,off,1,2h 42m::1::0::::::A::22845::::;;0h 40m::0::0::::::A::22846::::;;3h 00m::0::0::::::A::22847::::;;2h 07m::0::0::::::A::22848::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5712
Carta de navegación,&lt;p&gt;Estamos situados sobre la línea de la oposición de los faros de Punta Europa y Punta  Almina y a una distancia del faro de Punta Europa = 5 millas. Desde esta posición damos rumbo para pasar a 3 millas del faro de Isla de Tarifa (corrección total = 5ºNW). Calcular el rumbo de aguja&lt;/p&gt;,,,radio,1,,,,off,off,1,Ra= 247º::0::0::::::A::22849::::;;Ra= 257º::1::0::::::A::22850::::;;Ra= 237º::0::0::::::A::22851::::;;Ra= 267º::0::0::::::A::22852::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5713
Carta de navegación,&lt;p&gt;Vemos simultáneamente las siguientes demoras: el faro de Trafalgar por nuestro Norte    verdadero y el faro de Punta de Gracia por el Este verdadero. ¿A qué distancia tenemos en ese instante la luz roja del espigón de entrada al puerto de Barbate?&lt;/p&gt;,,,radio,1,,,,off,off,1,"5,4 millas::0::0::::::A::22853::::;;7,6 millas::1::0::::::A::22854::::;;9,8 millas::0::0::::::A::22855::::;;11,6 millas::0::0::::::A::22856::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5714
Carta de navegación,"&lt;p&gt;Nos encontramos situados sobre un punto -A- que está a 6 millas al Oeste verdadero del  faro de Espartel y damos rumbo hacia otro punto -B- situado en 36º 10 N – 006º 10'W. Calcular cuál será el rumbo de aguja que pondremos, sabiendo que la variación local es de= 2º NW y el desvío de aguja para este rumbo= - 4º:&lt;/p&gt;",,,radio,1,,,,off,off,1,Ra= 340º::0::0::::::A::22857::::;;Ra= 352º::1::0::::::A::22858::::;;Ra= 325º::0::0::::::A::22859::::;;Ra= 337º::0::0::::::A::22860::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5715
Nomenclatura náutica,&lt;p&gt;El asiento es positivo…&lt;/p&gt;,,,radio,1,,,,off,off,1,Cuando el calado de proa es menor que el calado de popa.::1::0::::::A::22861::::;;Cuando el calado de popa es menor que el calado de proa.::0::0::::::A::22862::::;;Cuando el calado a proa y a popa son iguales.::0::0::::::A::22863::::;;Cuando el calado mide lo mismo que el puntal.::0::0::::::A::22864::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5716
Nomenclatura náutica,"&lt;p&gt;Doble disco, unido al tambor del molinete, con muescas para que enganchen en ellas los eslabones de la cadena, se llama…&lt;/p&gt;",,,radio,1,,,,off,off,1,Cornamusa.::0::0::::::A::22865::::;;Capacete.::0::0::::::A::22866::::;;Barbotén.::1::0::::::A::22867::::;;Ninguna de las respuestas es correcta.::0::0::::::A::22868::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5717
Nomenclatura náutica,&lt;p&gt;La eslora se define como…&lt;/p&gt;,,,radio,1,,,,off,off,1,La distancia medida horizontalmente en el sentido transversal.::0::0::::::A::22869::::;;La distancia medida verticalmente desde la cubierta principal hasta la quilla.::0::0::::::A::22870::::;;La distancia medida horizontalmente en el sentido longitudinal del buque.::1::0::::::A::22871::::;;La distancia medida verticalmente desde el agua hasta la cubierta principal.::0::0::::::A::22872::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5718
Nomenclatura náutica,"&lt;p&gt;El eje situado en la parte superior del timón que se introduce en el casco a través de un orificio denominado limera, para terminar en el servo-timón, se denomina:&lt;/p&gt;",,,radio,1,,,,off,off,1,Bocina::0::0::::::A::22873::::;;Pala::0::0::::::A::22874::::;;Mecha::1::0::::::A::22875::::;;Freno::0::0::::::A::22876::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5719
Elementos de amarre y fondeo,&lt;p&gt;Medidas de seguridad durante el fondeo…&lt;/p&gt;,,,radio,1,,,,off,off,1,Vigilar que nuestro círculo de borneo no interfiera con otras embarcaciones.::0::0::::::A::22877::::;;Tomar marcas para asegurarnos de que no garreamos.::0::0::::::A::22878::::;;Programar alarmas de sonda que nos avisen de que nos desviamos sensiblemente de la profundidad en la que nos encontramos fondeados.::0::0::::::A::22879::::;;Todas son correctas.::1::0::::::A::22880::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5720
Elementos de amarre y fondeo,&lt;p&gt;¿Qué ocurre cuando se produce el garreo?&lt;/p&gt;,,,radio,1,,,,off,off,1,Que el ancla queda firme en el fondo.::0::0::::::A::22881::::;;Que el ancla se enreda en la cadena.::0::0::::::A::22882::::;;Que el ancla se suelta y se pierde en el fondo.::0::0::::::A::22883::::;;Que el ancla es arrastrada por el fondo.::1::0::::::A::22884::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5721
